CUUNIT,CUDESC,CUTYPE,CUTABL,CUPROM,CUOBSO,CUUNDR,CUMSTI,CUSUBI,CUSYMB,CUSEL1,CUSEL2,CUSEL3,CUSEL4,CUSEL5,CUATR1,CUATR2,CUATR3,CUATR4,CUATR5,CUCOLD,CUHOT,CURMV,CUFERC,CUFEAT,CUKIND,CUADDI,CURNUM,CURDTE,CURDES,CUEFCC,CUEFYY,CUEFMM,CUEFDD,CUCRCC,CUCRYY,CUCRMM,CUCRDD,CUCRTT,CUCRUU,CUCHCC,CUCHYY,CUCHMM,CUCHDD,CUCHTT,CUCHUU
11028S,"ARMOR RODDING, #652.4 KCM",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,ALG,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113444,DDAWSON
11029S,"ARMOR, RODDING, 927.2 KCM",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,ALG,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113444,DDAWSON
11030S,"ARRESTER, LIGHTING",N,SITEINV,Stock Number Assm,A,,STOCK,GEN,0,STK,,,,,,,,,,,,,365,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113444,DDAWSON
11031S,"ARRESTERS, LIGHTING, POLYMER, 7.2/12.47 KV.",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,ARR,,,,,,,,,,,,,355,NONGIS,,99,1,2/02,ADDED STOCK AS ASSMBLIES,20,3,12,2,20,3,12,2,0,MNess,20,5,4,15,113456,DDAWSON
11037S,"STIRRUP, MECHANICAL, #2-4/0 STR. ALUM CONDUCTOR.",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,MES,,,,,,,,,,,,,356,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11038S,"STIRRUP, MECHANICAL, 4/0-394.5 KCM, ALUM CONDUCTOR.",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,MES,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11070S,"BOLT, MACHINE, 7/8"" X 3"" GALV.",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,20,3,12,1,20,3,12,1,0,MNess,20,5,4,15,113458,DDAWSON
11071S,"BOLT, MACHINE, 7/8"" X 4"" GALV.",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11072S,"BOLT, MACHINE, 7/8"" X 12"" GALV.",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,20,3,12,1,20,3,12,1,0,MNess,20,5,4,15,113458,DDAWSON
11073S,"BOLT, MACHINE, 7/8"" X 14"" GALV.",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11074S,"BOLT, MACHINE, 7/8"" X 16"" GALV.",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11075S,"BOLT, MACHINE, 7/8"" X 18"" GALV.",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
11076S,"BOLT, MACHINE, 7/8"" X 20"" GALV.",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,20,3,12,1,20,3,12,1,0,MNess,20,5,4,15,113456,DDAWSON
11077S,"BOLT, MACHINE, 7/8"" X 22"" GALV.",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,20,3,12,1,20,3,12,1,0,MNess,20,5,4,15,113458,DDAWSON
11078S,"BOLT, MACHINE, 7/8"" X 24"" GALV.",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,355,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113439,DDAWSON
111.01,Obsolete UG Spec-Fiberglass enclosure for 2 bush.Xfmr >=50KVA 1phase+221.40,S,SITEINV,Obsolete UG Specs,O,UD,UG CONSTRUCTION,UGSUBASS,16,Obsolete,,,,Obsolete,,,,,,,,,366,NONGIS,649,,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,0,,20,5,4,15,113217,DDAWSON
11109S,"Obsolete Bolt, Assembly ,Stainless Steel 1/2"" X 1 3/4"",(SEE MEMO) Generic 99013",N,SITEINV,Stock Number Assm,O,,STOCK,FAS,0,BGT,,,,,,,,,,,,,364,NONGIS,,99,1,05/04,ADDED STOCK FOR TRANSMISSION JOB,19,95,1,1,0,0,0,0,0,Somebody,20,8,10,1,111426,MNESS
11112S,"BOLT, STAINLESS STEEL,1/2"" X 1"".",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,365,NONGIS,,99,1,2/03,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,Somebody,20,5,4,15,113440,DDAWSON
11113S,"BOLT, STAINLESS STEEL,1/2"" X 1 1/2"".",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,365,NONGIS,,99,1,2/03,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,Somebody,20,5,4,15,113440,DDAWSON
11114S,"BOLT, STUD, POST INSULATOR, 5/8"" X 10"" GALV, W/3/4"" THREAD",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,20,3,12,1,20,3,12,1,0,MNess,20,5,4,15,113456,DDAWSON
11115S,"BOLT, STUD, POST INSULATOR, 5/8"" X 12"" GALV.",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,20,3,12,1,20,3,12,1,0,MNess,20,5,4,15,113456,DDAWSON
11116S,"BOLT, STUD, 3/4"" X 1 3/4"" GALV",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,20,3,12,1,20,3,12,1,0,MNess,20,5,4,15,113456,DDAWSON
11117S,"BOLT, STUD, 3/4"" X 7 9/16"" GALV.",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,BGT,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,20,3,12,1,20,3,12,1,0,MNess,20,5,4,15,113456,DDAWSON
11130S,"WASHER, BELLEVILLE, STAINLESS STEEL, 1/2"".",N,SITEINV,Stock Number Assm,A,,STOCK,FAS,0,WSS,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,Somebody,20,5,4,15,113440,DDAWSON
