PAFRM,PATO,PAQTY,PABUBB,PAFLAG,PAEFCC,PAEFYY,PAEFMM,PAEFDD,PASTCC,PASTYY,PASTMM,PASTDD,PACRCC,PACRYY,PACRMM,PACRDD,PACRTT,PACRUU,PACHCC,PACHYY,PACHMM,PACHDD,PACHTT,PACHUU
42.13,AD8,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.13,BASPLIT,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.13,BRC,1,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.13,BRPTD,1,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.13,IP25LS,4,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.13,IP25SS,2,F,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.13,TSP,1,G,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.13,TDS,3,H,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.14,AD8,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.14,BASPLIT,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.14,BRC,1,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.14,BRPTD,1,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.14,AMFLS,4,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.14,IPN15SS,6,F,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140329,DDAWSON
42.14,TSP,1,G,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.14,TDT,3,H,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.14,AMFSS,2,J,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.15,AD8,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.15,BASPLIT,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.15,BRC,1,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.15,BRPTD,1,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.15,AMFLS,4,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.15,IP25SS,6,F,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.15,TSP,1,G,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.15,TDT,3,H,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.15,AMFSS,2,J,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.18,AD8V,1,A,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.18,BASPLIT,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.18,BRC,1,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.18,BRPTD,1,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.18,IP25LS,4,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.18,IP25SS,2,F,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.18,TSP394,1,G,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140330,DDAWSON
42.18,TDS394,3,H,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.19,AD8V,1,A,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.19,BASPLIT,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.19,BRC,1,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.19,BRPTD,1,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.19,AMFLS,4,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.19,IP25SS,6,F,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.19,TSP394,1,G,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.19,TDT394,3,H,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.19,AMFSS,2,J,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.22,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.22,BRC,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.22,IPN15LS,6,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.22,TDS,3,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.22,TSP,1,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.23,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.23,BRC,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.23,IP25LS,6,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.23,TDS,3,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140331,DDAWSON
42.23,TSP,1,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.24,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.24,BRC,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.24,IPN15SS,6,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.24,TDT,3,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.24,TSP,1,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.24,AMFLS,6,F,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.25,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.25,BRC,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.25,IP25SS,6,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.25,TDT,3,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.25,TSP,1,E,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.25,AMFLS,6,F,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.27,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.27,BRC,1,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
42.27,IP25LS,6,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140332,DDAWSON
